№,,Наименование продукта,,,,Ед. изм.,Брутто в ед. изм.,,"Вес брутто, кг",," Вес нетто или п/ф, кг",,"Вес готового продукта, кг",Технология приготовления,,,,
Вишневый пирог,,,,,,,,,,,,,,,,,,
Технологическая карта № 19104197568923629979,,,,,,,,,,,,Название на чеке:,,,,,,
,,,,,,,,,,,,Вишневый пирог,,,,,,
 24.08.2022,,,,,,,,,,,,,,,,,,
Область применения:,,,,,Любимая пекарня,,,,,,,,,,,,,
Хранение:,,,,,,,,,,,,,,,,,,
Срок Хранения:,,,,,,,,,,,,,,,,,,
Органолептические показатели:,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
№,,Наименование продукта,,,,Ед. изм.,Брутто в ед. изм.,,"Вес брутто, кг",," Вес нетто или п/ф, кг",,"Вес готового продукта, кг",Технология приготовления,,,,
1,Вишневый пирог,Тесто Сдобное п/ф,,,,кг,"0,540",,"0,540",,"  0,5400 ",,"0,540","
ТРЕБОВАНИЯ К ОФОРМЛЕНИЮ, ПОДАЧЕ И РЕАЛИЗАЦИИ",,,,
2,Вишневый пирог,МУКА ПШЕНИЧНАЯ 1C,,,,кг,"0,010",,"0,010",,"  0,0100 ",,"0,010",,,,,
3,Вишневый пирог,Меланж (битое яйцо 10 шт),,,,кг,"0,010",,"0,010",,"  0,0100 ",,"0,010",,,,,
4,Вишневый пирог,"МАСЛО РАСТИТЕЛЬНОЕ (РАФ) 4,5л",,,,шт,"0,001",,"0,004",,"  0,0040 ",,"0,000",,,,,
5,Вишневый пирог,"МАСЛО РАСТИТЕЛЬНОЕ (РАФ) 4,5л",,,,шт,"0,001",,"0,004",,"  0,0040 ",,"0,000",,,,,
6,Вишневый пирог,Начинка вишневая для пирожков,,,,кг,"0,500",,"0,500",,"  0,5000 ",,"0,500",,,,,
7,Вишневый пирог,Сироп для пропитки,,,,кг,"0,010",,"0,010",,"  0,0100 ",,"0,010",,,,,
8,Вишневый пирог,ПАКЕТЫ-МАЙКА  (500 шт),,,,шт,"2,000",,"0,000",,  -   ,,"0,000",,,,,
ИТОГО,,,,,,,,,,,,,,,,,,
вес готового блюда (изделия) в расчете на,,,,,,,,,,"2,000 порц",,,,,,,,
,,,,,,,,,,,,,,,,,"1,0700",кг
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Система автоматизации ресторанов iikoRMS,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Мясной пирог по-Татарски,,,,,,,,,,,,,,,,,,
Технологическая карта № 191041975688696,,,,,,,,,,,,Название на чеке:,,,,,,
,,,,,,,,,,,,Мясной пирог по-Татарски,,,,,,
 27.01.2023,,,,,,,,,,,,,,,,,,
Область применения:,,,,,Любимая пекарня,,,,,,,,,,,,,
Хранение:,,,,,,,,,,,,,,,,,,
Срок Хранения:,,,,,,,,,,,,,,,,,,
Органолептические показатели:,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
1,Мясной пирог по-Татарски,Тесто арбатское п/ф,,,,кг,"0,270",,"0,270",,"  0,2700 ",,"0,250","
ТРЕБОВАНИЯ К ОФОРМЛЕНИЮ, ПОДАЧЕ И РЕАЛИЗАЦИИ",,,,
2,Мясной пирог по-Татарски,МУКА ПШЕНИЧНАЯ 1C,,,,кг,"0,005",,"0,005",,"  0,0050 ",,"0,000",,,,,
3,Мясной пирог по-Татарски,"МАСЛО РАСТИТЕЛЬНОЕ (РАФ) 4,5л",,,,шт,"0,000",,"0,002",,"  0,0020 ",,"0,000",,,,,
4,Мясной пирог по-Татарски,Фарш говяжий с картофелем кубиками п/ф 1 кг,,,,кг,"0,250",,"0,250",,"  0,2500 ",,"0,250",,,,,
5,Мясной пирог по-Татарски,"МАСЛО РАСТИТЕЛЬНОЕ (РАФ) 4,5л",,,,шт,"0,000",,"0,002",,"  0,0020 ",,"0,000",,,,,
6,Мясной пирог по-Татарски,Меланж (битое яйцо 10 шт),,,,кг,"0,004",,"0,004",,"  0,0040 ",,"0,000",,,,,
7,Мясной пирог по-Татарски,ПАКЕТЫ-МАЙКА  (500 шт),,,,шт,"1,000",,"0,000",,  -   ,,"0,000",,,,,
8,Мясной пирог по-Татарски,СОЛЬ,,,,кг,"0,004",,"0,004",,"  0,0040 ",,"0,000",,,,,
9,Мясной пирог по-Татарски,ПЕРЕЦ ЧЕРНЫЙ МОЛОТЫЙ,,,,кг,"0,002",,"0,002",,"  0,0020 ",,"0,000",,,,,
10,Мясной пирог по-Татарски,МАРГАРИН,,,,кг,"0,015",,"0,015",,"  0,0150 ",,"0,000",,,,,
ИТОГО,,,,,,,,,,,,,,,,,,
вес готового блюда (изделия) в расчете на,,,,,,,,,,"1,000 порц",,,,,,,,
,,,,,,,,,,,,,,,,,"0,5000",кг
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Система автоматизации ресторанов iikoRMS,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Пирог капустный,,,,,,,,,,,,,,,,,,
Технологическая карта № 191041975688697,,,,,,,,,,,,Название на чеке:,,,,,,
,,,,,,,,,,,,Пирог капустный,,,,,,
 24.08.2022,,,,,,,,,,,,,,,,,,
Область применения:,,,,,Любимая пекарня,,,,,,,,,,,,,
Хранение:,,,,,,,,,,,,,,,,,,
Срок Хранения:,,,,,,,,,,,,,,,,,,
Органолептические показатели:,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
