Тесто арбатское п/ф,,,,,,,,,,,,,,,,,,
Технологическая карта № 202К,,,,,,,,,,,,Название на чеке:,,,,,,
,,,,,,,,,,,,Тесто арбатское п/ф,,,,,,
 14.11.2022,,,,,,,,,,,,,,,,,,
Область применения:,,,,,Любимая пекарня,,,,,,,,,,,,,
Хранение:,,,,,,,,,,,,,,,,,,
Срок Хранения:,,,,,,,,,,,,,,,,,,
Органолептические показатели:,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
№,,Наименование продукта,,,,Ед. изм.,Брутто в ед. изм.,,"Вес брутто, кг",,"Вес нетто или п/ф, кг",,"Вес готового продукта, кг",Технология приготовления,,,,
1,Тесто арбатское п/ф,МУКА ПШЕНИЧНАЯ 1C,,,,кг,"0,607",,"0,607",,"0,607",TRUE,"0,607","
ТРЕБОВАНИЯ К ОФОРМЛЕНИЮ, ПОДАЧЕ И РЕАЛИЗАЦИИ",,,,
2,Тесто арбатское п/ф,СОЛЬ,,,,кг,"0,009",,"0,009",,"0,009",TRUE,"0,009",,,,,
3,Тесто арбатское п/ф,ДРОЖЖИ ПРЕССОВАННЫЕ,,,,кг,"0,027",,"0,027",,"0,027",TRUE,"0,027",,,,,
4,Тесто арбатское п/ф,САХАР ПЕСОК,,,,кг,"0,025",,"0,025",,"0,025",TRUE,"0,025",,,,,
5,Тесто арбатское п/ф,МАРГАРИН,,,,кг,"0,030",,"0,030",,"0,030",TRUE,"0,030",,,,,
6,Тесто арбатское п/ф,Вода проточная (товар),,,,кг,"0,295",,"0,295",,"0,295",TRUE,"0,295",,,,,
7,Тесто арбатское п/ф,"МАСЛО РАСТИТЕЛЬНОЕ (РАФ) 4,5л",,,,шт,"0,002",,"0,009",,"0,009",TRUE,"0,009",,,,,
,,,,,,,,,,,,,,,,,,
ИТОГО,,,,,,,,,,,,,,,,,,
вес готового блюда (изделия) в расчете на,,,,,,,,,,"1,002 кг",,,,,,,,
,,,,,,,,,,,,,,,,,"1,0020",кг
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Система автоматизации ресторанов iikoRMS,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Тесто на кокроки п/ф,,,,,,,,,,,,,,,,,,
Технологическая карта № 204К,,,,,,,,,,,,Название на чеке:,,,,,,
,,,,,,,,,,,,Тесто на кокроки п/ф,,,,,,
 28.05.2021,,,,,,,,,,,,,,,,,,
Область применения:,,,,,Любимая пекарня,,,,,,,,,,,,,
Хранение:,,,,,,,,,,,,,,,,,,
Срок Хранения:,,,,,,,,,,,,,,,,,,
Органолептические показатели:,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
1,Тесто на кокроки п/ф,МУКА ПШЕНИЧНАЯ В/С,,,,кг,"0,702",,"0,702",,"0,702",TRUE,"0,702","
ТРЕБОВАНИЯ К ОФОРМЛЕНИЮ, ПОДАЧЕ И РЕАЛИЗАЦИИ",,,,
2,Тесто на кокроки п/ф,КЕФИР,,,,л,"0,253",,"0,253",,"0,253",TRUE,"0,253",,,,,
3,Тесто на кокроки п/ф,МАРГАРИН,,,,кг,"0,146",,"0,146",,"0,146",TRUE,"0,146",,,,,
4,Тесто на кокроки п/ф,СОЛЬ,,,,кг,"0,010",,"0,010",,"0,010",TRUE,"0,010",,,,,
5,Тесто на кокроки п/ф,Меланж (битое яйцо 10 шт),,,,кг,"0,089",,"0,089",,"0,089",TRUE,"0,089",,,,,
,,,,,,,,,,,,,,,,,,
ИТОГО,,,,,,,,,,,,,,,,,,
вес готового блюда (изделия) в расчете на,,,,,,,,,,"1,200 кг",,,,,,,,
,,,,,,,,,,,,,,,,,"1,2000",кг
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Система автоматизации ресторанов iikoRMS,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Тесто Сдобное п/ф,,,,,,,,,,,,,,,,,,
Технологическая карта № 210К,,,,,,,,,,,,Название на чеке:,,,,,,
,,,,,,,,,,,,Тесто Сдобное п/ф,,,,,,
 14.11.2022,,,,,,,,,,,,,,,,,,
Область применения:,,,,,Любимая пекарня,,,,,,,,,,,,,
Хранение:,,,,,,,,,,,,,,,,,,
Срок Хранения:,,,,,,,,,,,,,,,,,,
Органолептические показатели:,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
1,Тесто Сдобное п/ф,МУКА ПШЕНИЧНАЯ 1C,,,,кг,"0,570",,"0,570",,"0,570",TRUE,"0,570","
ТРЕБОВАНИЯ К ОФОРМЛЕНИЮ, ПОДАЧЕ И РЕАЛИЗАЦИИ",,,,
2,Тесто Сдобное п/ф,ДРОЖЖИ ПРЕССОВАННЫЕ,,,,кг,"0,030",,"0,030",,"0,030",TRUE,"0,030",,,,,
3,Тесто Сдобное п/ф,СОЛЬ,,,,кг,"0,007",,"0,007",,"0,007",TRUE,"0,007",,,,,
4,Тесто Сдобное п/ф,САХАР ПЕСОК,,,,кг,"0,090",,"0,090",,"0,090",TRUE,"0,090",,,,,
5,Тесто Сдобное п/ф,МАРГАРИН,,,,кг,"0,054",,"0,054",,"0,054",TRUE,"0,054",,,,,
6,Тесто Сдобное п/ф,"ВАНИЛИН 0,454",,,,шт,"0,002",,"0,001",,"0,001",TRUE,"0,001",,,,,
7,Тесто Сдобное п/ф,Меланж (битое яйцо 10 шт),,,,кг,"0,024",,"0,024",,"0,024",TRUE,"0,024",,,,,
8,Тесто Сдобное п/ф,Вода проточная (товар),,,,кг,"0,221",,"0,221",,"0,221",TRUE,"0,221",,,,,
9,Тесто Сдобное п/ф,УЛУЧШИТЕЛЬ,,,,кг,"0,003",,"0,003",,"0,003",TRUE,"0,003",,,,,
ИТОГО,,,,,,,,,,,,,,,,,,
вес готового блюда (изделия) в расчете на,,,,,,,,,,"1,000 кг",,,,,,,,
,,,,,,,,,,,,,,,,,"1,0000",кг
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Система автоматизации ресторанов iikoRMS,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Тесто ржаное пресное п/ф,,,,,,,,,,,,,,,,,,
Технологическая карта № 19104197568923629600,,,,,,,,,,,,Название на чеке:,,,,,,
,,,,,,,,,,,,Тесто ржаное пресное п/ф,,,,,,
 14.11.2022,,,,,,,,,,,,,,,,,,
Область применения:,,,,,Любимая пекарня,,,,,,,,,,,,,
Хранение:,,,,,,,,,,,,,,,,,,
Срок Хранения:,,,,,,,,,,,,,,,,,,
Органолептические показатели:,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
1,Тесто ржаное пресное п/ф,МУКА ПШЕНИЧНАЯ 1C,,,,кг,"0,320",,"0,320",,"0,320",TRUE,"0,320","
ТРЕБОВАНИЯ К ОФОРМЛЕНИЮ, ПОДАЧЕ И РЕАЛИЗАЦИИ",,,,
2,Тесто ржаное пресное п/ф,МУКА РЖАНАЯ ОБДИРНАЯ,,,,кг,"0,170",,"0,170",,"0,170",TRUE,"0,170",,,,,
3,Тесто ржаное пресное п/ф,МАРГАРИН,,,,кг,"0,260",,"0,260",,"0,260",TRUE,"0,260",,,,,
4,Тесто ржаное пресное п/ф,КОНЦЕНТРАТ КВАСНОГО СУСЛА,,,,кг,"0,020",,"0,020",,"0,000",FALSE,"0,000",,,,,
5,Тесто ржаное пресное п/ф,СОЛЬ,,,,кг,"0,010",,"0,010",,"0,000",FALSE,"0,000",,,,,
6,Тесто ржаное пресное п/ф,Вода проточная (товар),,,,кг,"0,200",,"0,200",,"0,200",TRUE,"0,200",,,,,
ИТОГО,,,,,,,,,,,,,,,,,,
вес готового блюда (изделия) в расчете на,,,,,,,,,,"0,950 кг",,,,,,,,
,,,,,,,,,,,,,,,,,"0,9500",кг
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Система автоматизации ресторанов iikoRMS,,,,,,,,,,,,,,,,,
